학교명,1학년 전입학생수,1학년 전출학생수,2학년 전입학생수,2학년 전출학생수,3학년 전입학생수,3학년 전출학생수,4학년 전입학생수,4학년 전출학생수,5학년 전입학생수,5학년 전출학생수,6학년 전입학생수,6학년 전출학생수,전입학생수(계),전출학생수(계),전체학생수(계)
문산초등학교,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17
서면초등학교,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29
송림초등학교,0,0,0,0,0,0,0,1,0,0,0,0,0,1,53
오성초등학교,0,1,1,0,1,0,0,0,0,1,0,1,2,3,30
대창초등학교,0,0,0,0,0,1,0,0,0,0,0,0,0,1,40
웅천초등학교,3,2,0,1,1,1,0,1,0,0,0,0,4,5,48
주산초등학교,0,0,0,0,0,1,0,0,0,1,1,0,1,2,28
청소초등학교,0,0,0,0,0,1,1,1,0,0,0,0,1,2,44
고남초등학교,1,0,0,2,1,0,1,0,0,1,0,1,3,4,39
방포초등학교,0,0,0,0,0,0,0,0,0,0,0,1,0,1,42
소원초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,29
안흥초등학교,0,0,0,0,1,0,0,2,0,0,0,0,1,2,29
이원초등학교관동분교장,0,0,0,1,1,0,0,0,0,1,0,0,1,2,10
광천초등학교,1,1,0,3,2,2,4,1,1,1,1,2,9,10,212
서부초등학교,0,0,0,1,3,0,1,1,0,1,0,2,4,5,53
미산초등학교,1,0,0,1,1,0,0,1,0,0,0,1,2,3,43
신흥초등학교,1,4,5,2,2,3,6,3,5,6,1,3,20,21,464
대산초등학교,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18
대아초등학교,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50
무장초등학교,1,1,0,0,1,0,0,2,2,4,4,2,8,9,66
성내초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,26
군산문화초등학교,1,1,7,6,1,2,0,1,2,0,0,2,11,12,233
나포초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,40
발산초등학교,0,0,0,1,0,0,0,1,1,0,0,0,1,2,33
선유도초등학교,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
성산초등학교,0,2,0,0,2,2,0,1,2,1,1,0,5,6,88
심창초등학교,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15
용지초등학교,2,0,0,0,0,1,0,2,0,0,0,0,2,3,38
금지동초등학교,0,1,0,0,0,0,1,0,0,0,0,1,1,2,24
남원대산초등학교,0,0,1,1,0,0,1,1,0,1,0,0,2,3,35
보절초등학교,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24
아영초등학교,1,1,0,0,1,1,0,0,0,1,0,0,2,3,60
계화초등학교,1,0,0,2,0,0,0,0,0,0,0,0,1,2,6
곰소초등학교,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47
백련초등학교,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12
위도초등학교,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15
구림초등학교,0,0,0,0,0,1,0,0,0,0,0,0,0,1,27
동산초등학교,0,0,0,0,0,0,0,1,0,0,0,0,0,1,33
대덕초등학교,0,1,3,2,3,2,2,1,0,1,0,2,8,9,80
봉동초등학교양화분교장,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37
소양초등학교,0,2,0,0,0,0,1,0,0,0,0,0,1,2,60
운주초등학교,0,1,0,0,0,0,0,0,4,3,1,2,5,6,31
청명초등학교,0,1,0,0,0,0,1,1,0,0,0,0,1,2,35
낭산초등학교,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23
석불초등학교,1,0,0,1,0,0,0,0,0,1,0,0,1,2,15
